69,69(体位)
hair_over_mouth,头发盖在嘴上
kissing_hair,亲吻头发
biting_hair,咬头发
eating_hair,吃头发
smelling_hair,闻头发
food_on_hair,头发上的食物
folded_hair,折叠头发
adjusting_another's_hair,调整别人的头发
playing_with_another's_hair,玩弄别人的头发
holding_another's_hair,握着别人的头发
hair_over_one_eyebrow,头发遮住眉毛
blush_visible_through_hair,透过头发可见腮红
ears_visible_through_hair,可以看到耳朵
hair_through_headwear,头发穿过头饰
disheveled_hair,凌乱的头发|蓬乱的头发
hair_flowing_over,头发飘过
hair_undone,头发松散
hair_half_undone,头发半松散
ruffling_hair,蓬松的头发
bouncing_hair,跳动的头发
living_hair,活头发
severed_hair,剪断的头发
jeanne_d'arc,圣女贞德
rem_(re:zero),雷姆
keqing,刻晴
fate_testarossa,菲特·泰斯特罗莎·哈拉温
jeanne_d'arc_(alter)_(fate),圣女贞德（命运）
yae_miko,八重神子
sirius_(azur_lane),天狼星（碧蓝航线）
kitagawa_marin,喜多川海梦
saber_extra,尼禄
illyasviel_von_einzbern,伊莉雅丝菲尔·冯·爱因兹贝伦
shimakaze_(kancolle),岛风（kancolle）
scathach_(fate/grand_order),斯卡哈
karyl_(princess_connect),凯露
gawr_gura,噶呜·古拉
hu_tao,胡桃
asuna_(sword_art_online),亚丝娜（刀剑神域）
ichinose_asuna,碧蓝档案亚丝娜
eula,优菈
bremerton_(azur_lane),布雷默顿（碧蓝航线）
yorha_no.2_type_b,2b
shirogane_noel,白银诺艾尔
pecorine,佩可莉姆
kashima_(kancolle),鹿岛（kancolle）
fischl,菲谢尔
yukihana_lamy,雪花菈米
unicorn_(azur_lane),独角兽（碧蓝航线）
illustrious_(azur_lane),光辉(碧蓝航线）
hamakaze_(kancolle),滨风（kancolle）
kamisato_ayaka,神里绫华
shenhe,申鹤
saber_alter,阿尔托利亚·潘德拉贡
cirno,琪露诺
kokkoro,可可罗
emilia_(re_zero),艾米莉亚
kakudate_karin,角楯华凛
hibiki_(kancolle),响（kancolle）
ahri,九尾妖狐阿狸
takane_lui,鹰岭露依
yor_briar,约尔·福杰
zero_two_(darling_in_the_franxx),02国家队
tifa_lockhart,蒂法·洛克哈特
hk416_(girls_frontline),HK416
golden_darkness,金色暗影
sonico,超级索尼子
higuchi_madoka,樋口円香
reisalin_stout,莱莎琳·斯托特
homura_(xenoblade_2),焰
ishtar_(fate/grand_order),伊什塔尔
shuten_douji_(fate/grand_order),酒吞童子
nekomata_okayu,猫又小粥
ram_(re_zero),拉姆
tokoyami_towa,常暗永远
c.c.,C.C.
st._louis_(azur_lane),圣路易斯（碧蓝航线）
miqo'te,猫魅族(FF14)
lelouch_lamperouge,鲁鲁修·兰佩鲁日
kongou_(kancolle),金刚（kancolle）
bb_(fate/extra_ccc),BB
lala_satalin_deviluke,菈菈·萨塔琳·戴比路克
kirima_sharo,桐间纱路
shana,夏娜
yelan,夜澜
miyamoto_musashi,宫本武藏（命运/大订单）
nakiri_ayame,百鬼绫目
sangonomiya_kokomi,珊瑚宫心海
narumeia_(granblue_fantasy),娜露梅亚
ereshkigal_(fate/grand_order),埃列什基伽勒
chloe_von_einzbern,克洛伊·冯·爱因兹贝伦
sunaookami_shiroko,砂狼白子
alice,爱丽丝
suzuya_(kancolle),铃谷 (kancolle)
ch'en_(arknights),陈（明日方舟）
mori_calliope,森美声
akai_haato,赤井心
nakano_itsuki,中野五月
momo_velia_deviluke,梦梦·贝莉雅·戴比路克
sakura_miko,樱巫女
sasaki_saren,佐佐木咲恋
rice_shower_(umamusume),米浴
sorasaki_hina,空崎日奈
meltlilith,梅尔特莉莉丝
honolulu_(azur_lane),火奴鲁鲁
samus_aran,萨姆斯·阿兰
nakano_ichika,中野一花
daiwa_scarlet_(umamusume),大和赤骥
morino_rinze,杜野凛世
cheshire_(azur_lane),柴郡（碧蓝航线）
watson_amelia,沃森-阿米莉亚
kiyohime_(fate/grand_order),清姬
amane_kanata,天音彼方
la+_darknesss,拉普拉斯·达克尼斯
hoshimachi_suisei,星街彗星
tippy,提比（点兔）
bremerton_(scorching-hot_training)_(azur_lane),布雷默顿（酷热训练）
le_malin_(azur_lane),恶毒
dido_(azur_lane),黛朵
zara_(azur_lane),扎拉
baltimore_(azur_lane),巴尔的摩
kashino_(azur_lane),樫野
cleveland_(azur_lane),克利夫兰
graf_zeppelin_(azur_lane),格拉夫齐柏林飞艇
nagato_(azur_lane),长门
taihou_(enraptured_companion)_(azur_lane),taihou_(陶醉的同伴)_(azur_Lane)
zara_(poolside_coincidence)_(azur_lane),zara_(池畔巧合)_(azur_Lane)
amagi_(azur_lane),天城
atago_(stunning_speedster)_(azur_lane),爱宕（令人惊叹的极速赛车）
roon_(azur_lane),罗恩
shinano_(azur_lane),信浓
st._louis_(luxurious_wheels)_(azur_lane),圣路易斯（豪华车轮）
zuikaku_(azur_lane),瑞鹤
le_malin_(listless_lapin)_(azur_lane),le_malin_(无精打采的
new_jersey_(azur_lane),新泽西
queen_elizabeth_(azur_lane),伊丽莎白女王
sheffield_(azur_lane),谢菲尔德
jean_bart_(azur_lane),让·巴特
aegir_(azur_lane),艾吉尔
bismarck_(azur_lane),俾斯麦
kashino_(hot_springs_relaxation)_(azur_lane),樫野_(牛牛皮肤)
perseus_(azur_lane),英仙座
deutschland_(azur_lane),德国
ping_hai_(azur_lane),平海
tashkent_(azur_lane),塔什干
massachusetts_(azur_lane),马萨诸塞州
z46_(azur_lane),z46
admiral_hipper_(azur_lane),希珀海军上将
bache_(azur_lane),巴赫
azur_lane:_slow_ahead,碧蓝航线：慢速前进
pamiat_merkuria_(azur_lane),pamiat_merkuria
hood_(azur_lane),引擎盖
noshiro_(azur_lane),noshiro
pola_(azur_lane),pola
indomitable_(azur_lane),不屈不挠
ning_hai_(azur_lane),宁海
warspite_(azur_lane),厌战
mutsuki_(azur_lane),睦月
takao_(beach_rhapsody)_(azur_lane),takao_(海滩狂想曲)_(azur_Lane)
august_von_parseval_(azur_lane),八月冯帕斯瓦尔（蔚蓝车道）
cygnet_(azur_lane),小天鹅
formidable_(the_lady_of_the_beach)_(azur_lane),强大的（海滩女士）
helena_(azur_lane),海伦娜
prince_of_wales_(azur_lane),威尔士亲王
belfast_(shopping_with_the_head_maid)_(azur_lane),贝尔法斯特（与女仆一起购物）
friedrich_der_grosse_(azur_lane),Friedrich_der_Grosse_(蔚蓝海岸)
victorious_(azur_lane),胜利
dunkerque_(azur_lane),敦刻尔克
tirpitz_(azur_lane),提尔皮茨
bremerton_(kung_fu_cruiser)_(azur_lane),布雷默顿（功夫巡洋舰）
reno_(azur_lane),里诺
chapayev_(azur_lane),恰巴耶夫
saratoga_(azur_lane),萨拉托加
yukikaze_(azur_lane),雪风
grim_(azur_lane),严峻
richelieu_(azur_lane),黎塞留
shimakaze_(azur_lane),岛风
little_bel_(azur_lane),小贝尔
ark_royal_(azur_lane),皇家方舟
essex_(azur_lane),埃塞克斯
meowfficer_(azur_lane),喵喵
south_dakota_(azur_lane),南达科他州
new_jersey_(exhilarating_steps!)_(azur_lane),新泽西（令人振奋的步伐！）（蔚蓝泳道）
prinz_heinrich_(azur_lane),海因里希亲王
azuma_(azur_lane),吾妻
mikasa_(azur_lane),三笠
perseus_(unfamiliar_duties)_(azur_lane),perseus_(不熟悉的职责)_(azur_Lane)
san_diego_(azur_lane),圣地亚哥
saint-louis_(azur_lane),圣路易斯
north_carolina_(azur_lane),北卡罗来纳州
amagi-chan_(azur_lane),天城酱285
indianapolis_(azur_lane),印第安纳波利斯
nelson_(azur_lane),纳尔逊
ulrich_von_hutten_(azur_lane),ulrich_von_hutten（蔚蓝海岸）
portland_(azur_lane),波特兰
tosa_(azur_lane),土佐
monarch_(azur_lane),君主
taihou_(temptation_on_the_sea_breeze)_(azur_lane),太后（海风的诱惑）
akagi-chan_(azur_lane),赤城酱
sovetskaya_rossiya_(azur_lane),sovetskaya_rossiya_(azur_Lane)
shigure_(azur_lane),时雨
zuikaku_(kancolle),瑞鹤
yuudachi_(kancolle),夕立_(kancolle)
yukikaze_(kancolle),雪风_(kancolle)
yamato_(kancolle),大和_(kancolle)
tenryuu_(kancolle),天龙_(kancolle)
takao_(kancolle),高雄
shiranui_(kancolle),不知火_(kancolle)
shigure_kai_ni_(kancolle),时雨佳妮_(kancolle)
shigure_(kancolle),时雨_(kancolle)
sendai_(kancolle),川内_(kancolle)
ryuujou_(kancolle),龙骧
prinz_eugen_(kancolle),欧根亲王 (kancolle)
musashi_(kancolle),武藏_(kancolle)
murakumo_(kancolle),村云_(kancolle)
kirishima_(kancolle),雾岛_(kancolle)
inazuma_(kancolle),电_(kancolle)
haruna_(kancolle),榛名_(kancolle)
fubuki_(kancolle),吹雪_(kancolle)
bismarck_(kancolle),俾斯麦_(kancolle)
atago_(kancolle),爱宕_(kancolle)
asashio_(kancolle),朝潮_(kancolle)
amatsukaze_(kancolle),天津风
prinz_eugen_(final_lap)_(azur_lane),欧根亲王（最后一圈）（蔚蓝车道）
baltimore_(after-school_ace)_(azur_lane),巴尔的摩（课后王牌）（碧蓝航线）
atago_(school_traumerei)_(azur_lane),爱宕（学校_traumerei）（碧蓝航线）
unicorn_(long-awaited_date)_(azur_lane),独角兽（期待已久的约会）（碧蓝航线）
fusou_(azur_lane),扶苏（碧蓝航线）
taihou_(phoenix's_spring_song)_(azur_lane),太后（凤凰春歌）（碧蓝航线）
kaga_(battleship)_(azur_lane),加贺（战舰）（碧蓝航线）
takao_(full_throttle_charmer)_(azur_lane),takao（全油门魅力者）（碧蓝航线）
u-47_(azur_lane),u-47（蔚蓝航线）
siren_(azur_lane),警笛（碧蓝航线）
long_island_(azur_lane),长岛（碧蓝航线）
i-19_(azur_lane),i-19（碧蓝航线）
pola_(seaside_coincidence)_(azur_lane),pola（海边巧合）（碧蓝航线）
gascogne_(azur_lane),加斯科涅（碧蓝航线）
swiftsure_(azur_lane),swiftsure（碧蓝航线）
indomitable_(ms._motivationless_maid)_(azur_lane),不屈不挠（无动机的女仆女士）（碧蓝航线）
kawakaze_(azur_lane),川风（碧蓝航线）
hornet_(azur_lane),大黄蜂（碧蓝航线）
honolulu_(summer_accident?!)_(azur_lane),檀香山（夏季事故？！）（蔚蓝车道）
vittorio_veneto_(azur_lane),维托里奥·威尼托（蔚蓝海岸）
elbe_(azur_lane),易北河（碧蓝航线）
ibuki_(azur_lane),ibuki（碧蓝航线）
washington_(azur_lane),华盛顿（碧蓝航线）
algerie_(azur_lane),阿尔及利亚（碧蓝航线）
yorktown_(azur_lane),约克镇（碧蓝航线）
ajax_(azur_lane),阿贾克斯（碧蓝航线）
surcouf_(azur_lane),surcouf（碧蓝航线）
gneisenau_(azur_lane),格奈森瑙（碧蓝航线）
duke_of_york_(azur_lane),约克公爵（碧蓝航线）
formidable_(timeless_classics)_(azur_lane),令人敬畏的（永恒的经典）（碧蓝航线）
illustrious_(morning_star_of_love_and_hope)_(azur_lane),杰出的（爱与希望的晨星）（碧蓝航线）
hermione_(azur_lane),赫敏（碧蓝航线）
shoukaku_(sororal_wings)_(azur_lane),shoukaku_(sororalwings)_(azur_Lane)
hiei_(azur_lane),hiei（碧蓝航线）
albacore_(azur_lane),长鳍金枪鱼（碧蓝航线）
tosa_(hometown_zest)_(azur_lane),土佐（家乡热情）（碧蓝航线）
graf_zeppelin_(beachside_urd)_(azur_lane),graf_zeppelin_(beachside_urd)_(azur_Lane)
minneapolis_(azur_lane),明尼阿波利斯（碧蓝航线）
neptune_(azur_lane),海王星（碧蓝航线）
nagato_(great_fox's_respite)_(azur_lane),长门（大狐狸的喘息）（碧蓝航线）
rodney_(azur_lane),罗德尼（碧蓝航线）
takao_(school_romanza)_(azur_lane),takao_(school_romanza)_(azur_Lane)
massachusetts_(dressed_to_impress)_(azur_lane),马萨诸塞州（着装给人留下深刻印象）（碧蓝航线）
unicorn_(the_gift_of_spring)_(azur_lane),独角兽（春天的礼物）（碧蓝航线）
le_temeraire_(azur_lane),le_temeraire_(蔚蓝海岸)
richelieu_(fleuron_of_the_waves)_(azur_lane),黎塞留（海浪之花）（碧蓝航线）
illustrious_(maiden_lily's_radiance)_(azur_lane),杰出（少女百合的光芒）（碧蓝航线）
bremerton_(day-off_date)_(azur_lane),布雷默顿（休息日）（碧蓝航线）
hiryuu_(azur_lane),hiryuu（碧蓝航线）
littorio_(azur_lane),littorio（碧蓝航线）
colorado_(azur_lane),科罗拉多州（碧蓝航线）
fubuki_(azur_lane),吹雪（碧蓝航线）
glorious_(azur_lane),光荣（碧蓝航线）
baltimore_(black_ace)_(azur_lane),巴尔的摩（黑色王牌）（碧蓝航线）
montpelier_(azur_lane),蒙彼利埃（碧蓝航线）
prinz_eugen_(cordial_cornflower)_(azur_lane),欧根亲王（亲切的矢车菊）（碧蓝航线）
duca_degli_abruzzi_(azur_lane),duca_degli_abruzzi（碧蓝航线）
grenville_(azur_lane),格伦维尔（碧蓝航线）
i-26_(azur_lane),i-26（碧蓝航线）
suzuya_(azur_lane),铃屋（碧蓝航线）
anchorage_(azur_lane),锚地（碧蓝航线）
taihou_(muse)_(azur_lane),太后（缪斯）（碧蓝航线）
cheshire_(summery_date!)_(azur_lane),柴郡（夏日约会！）（碧蓝航线）
kumano_(azur_lane),熊野（碧蓝航线）
shinano_(dreams_of_the_hazy_moon)_(azur_lane),信浓（朦胧月之梦）（碧蓝航线）
belfast_(iridescent_rosa)_(azur_lane),贝尔法斯特（彩虹色罗莎）（碧蓝航线）
august_von_parseval_(the_conquered_unhulde)_(azur_lane),august_von_parseval（被征服的_unhulde）（蔚蓝车道）
souryuu_(azur_lane),souryuu（碧蓝航线）
akagi_(paradise_amaryllis)_(azur_lane),akagi_(天堂孤挺花)_(azur_Lane)
chen_hai_(azur_lane),陈海（碧蓝航线）
choukai_(azur_lane),choukai（碧蓝航线）
dunkerque_(summer_sucre)_(azur_lane),敦刻尔克（苏克雷之夏）（碧蓝航线）
fumizuki_(azur_lane),fumizuki（碧蓝航线）
dido_(anxious_bisque_doll)_(azur_lane),dido（焦虑的素瓷娃娃）（碧蓝航线）
hanazuki_(azur_lane),花月（碧蓝航线）
gangut_(azur_lane),甘古特（碧蓝航线）
aquila_(azur_lane),天鹰座（碧蓝航线）
prinz_eugen_(symphonic_fate)_(azur_lane),欧根亲王（交响乐命运）（碧蓝航线）
surcouf_(loisirs_balneaires)_(azur_lane),surcouf_(loisirs_balneaires)_(碧蓝航线)
edinburgh_(azur_lane),爱丁堡（碧蓝航线）
jeanne_d'arc_(azur_lane),jeanne_d'arc（碧蓝航线）
mutsu_(azur_lane),陆奥（碧蓝航线）
sovetskaya_belorussiya_(azur_lane),sovetskaya_belorussiya_(azur_Lane)
zuikaku_(the_wind's_true_name)_(azur_lane),zuikaku_(风的真名)_(azur_Lane)
z1_leberecht_maass_(azur_lane),z1_leberecht_maass（碧蓝航线）
maya_(azur_lane),玛雅（碧蓝航线）
erebus_(azur_lane),艾瑞布斯（碧蓝航线）
yamashiro_(summer_offensive?)_(azur_lane),山城（夏季攻势？）（碧蓝航线）
nagara_(azur_lane),长良（碧蓝航线）
sims_(azur_lane),模拟人生（碧蓝航线）
admiral_graf_spee_(peaceful_daily_life)_(azur_lane),Admiral_graf_spee_(和平的日常生活)_(azur_Lane)
drake_(azur_lane),德雷克（碧蓝航线）
le_malin_(mercredi_at_the_secret_base)_(azur_lane),le_malin_(秘密基地的_mercredi)_(azur_Lane)
tashkent_(the_bound_cruiser)_(azur_lane),塔什干（绑定巡洋舰）（蔚蓝航线）
terror_(azur_lane),恐怖（碧蓝航线）
amagi_(wending_waters_serene_lotus)_(azur_lane),天城（文定水静莲花）（碧蓝航线）
kongou_(azur_lane),金刚（碧蓝航线）
emden_(azur_lane),埃姆登（碧蓝航线）
hakuryuu_(azur_lane),白龙（碧蓝航线）
leander_(azur_lane),瘦（碧蓝航线）
peter_strasser_(azur_lane),彼得·斯特拉瑟（碧蓝航线）
charybdis_(azur_lane),charybdis（碧蓝航线）
ping_hai_(summer_vacation)_(azur_lane),平海（暑假）（碧蓝航线）
prinz_eugen_(profusion_of_flowers)_(azur_lane),欧根亲王（繁花似锦）（碧蓝航线）
alabama_(azur_lane),阿拉巴马州（碧蓝航线）
avrora_(azur_lane),avrora（碧蓝航线）
enterprise_(wind_catcher)_(azur_lane),企业（捕风者）（碧蓝航线）
le_malin_(sleepy_sunday)_(azur_lane),le_malin（沉睡的星期天）（蔚蓝车道）
reno_(biggest_little_cheerleader)_(azur_lane),雷诺（最大的小啦啦队长）（碧蓝航线）
female_commander_(azur_lane),女指挥官（碧蓝航线）
kaga_(everlasting_killing_stone)_(azur_lane),kaga（永恒的杀戮石）（碧蓝航线）
ayanami_(niconico)_(azur_lane),绫波（niconico）（碧蓝航线）
kronshtadt_(azur_lane),喀琅施塔特（碧蓝航线）
shiranui_(azur_lane),不知火（碧蓝航线）
baltimore_(muse)_(azur_lane),巴尔的摩（缪斯）（碧蓝航线）
le_triomphant_(azur_lane),le_triomphant（碧蓝航线）
gneisenau_(nightmarish_succubus)_(azur_lane),gneisenau（噩梦般的魅魔）（碧蓝航线）
reno_(reno_bunnino)_(azur_lane),雷诺_(reno_bunnino)_(碧蓝航线)
repulse_(azur_lane),击退（碧蓝航线）
saint-louis_(holy_knight's_resplendence)_(azur_lane),圣路易斯（圣骑士的辉煌）（碧蓝航线）
shouhou_(azur_lane),守寿（碧蓝航线）
hammann_(rebellious_summer)_(azur_lane),哈曼（叛逆的夏天）（碧蓝航线）
kinu_(azur_lane),kinu（碧蓝航线）
shangri-la_(azur_lane),香格里拉（碧蓝航线）
yat_sen_(azur_lane),中山（碧蓝航线）
independence_(azur_lane),独立（碧蓝航线）
algerie_(white_sand_paradise)_(azur_lane),阿尔及利亚（白沙天堂）（碧蓝航线）
vittorio_veneto_(the_flower_of_la_spezia)_(azur_lane),vittorio_veneto（拉斯佩齐亚之花）（碧蓝航线）
hobby_(azur_lane),爱好（碧蓝航线）
nuernberg_(azur_lane),纽伦堡（碧蓝航线）
chikuma_(azur_lane),chikuma_(碧蓝航线)
bismarck_(beacon_of_the_iron_blood)_(azur_lane),俾斯麦（铁血的灯塔）（碧蓝航线）
deutschland_(service_time?!)_(azur_lane),德国（服务时间？！）（蔚蓝航线）
tallinn_(azur_lane),塔林（碧蓝航线）
u-81_(azur_lane),u-81（碧蓝航线）
chen_hai_(vestibule_of_wonders)_(azur_lane),陈海（奇迹前庭）（碧蓝航线）
observer_alpha_(azur_lane),观察者阿尔法（碧蓝航线）
sirius_(azur_lane)_(cosplay),天狼星（碧蓝航线）（角色扮演）
yuudachi_(shogun_of_snowballs)_(azur_lane),yuudachi（雪球将军）（碧蓝航线）
asuna_(blue_archive),亚丝娜（蓝色档案）
asuna_(bunny)_(blue_archive),亚丝娜（兔子）（蓝色档案）
karin_(blue_archive),卡琳（蓝色档案）
shiroko_(blue_archive),白子（蓝色档案）
hina_(blue_archive),空崎日奈（蓝色档案）
karin_(bunny)_(blue_archive),卡琳（兔子）（蓝色档案）
aru_(blue_archive),陆八魔爱瑠（蓝色档案）
koharu_(blue_archive),小春（蓝色档案）
hoshino_(blue_archive),星野（蓝色档案）
yuuka_(blue_archive),优香（蓝色档案）
sensei_(blue_archive),老师（蓝色档案）
arisu_(blue_archive),天童爱丽丝（蓝色档案）
mutsuki_(blue_archive),陆八魔 亚瑠（蓝色档案）
hifumi_(blue_archive),阿慈谷日富美（蓝色档案）
miyu_(blue_archive),霞泽美游（蓝色档案）
nonomi_(blue_archive),十六夜野乃美（蓝色档案）
iori_(blue_archive),银镜伊织（蓝色档案）
arona_(blue_archive),阿罗娜（蓝色档案）
ako_(blue_archive),天雨アコ（蓝色档案）
hibiki_(blue_archive),猫塚响（蓝色档案）
shun_(blue_archive),瞬（蓝色档案）
azusa_(blue_archive),azusa（蓝色档案）
izuna_(blue_archive),izuna（蓝色档案）
ui_(blue_archive),ui（蓝色档案）
midori_(blue_archive),midori（蓝色档案）
neru_(blue_archive),neru（蓝色档案）
momoi_(blue_archive),桃井（蓝色档案）
shun_(small)_(blue_archive),顺（小）（蓝色档案）
kayoko_(blue_archive),kayoko（蓝色档案）
mika_(blue_archive),米卡（蓝色档案）
tsubaki_(blue_archive),椿（蓝色档案）
serika_(blue_archive),serika（蓝色档案）
yuzu_(blue_archive),柚子（蓝色档案）
iroha_(blue_archive),iroha（蓝色档案）
mari_(blue_archive),mari（蓝色档案）
hasumi_(blue_archive),哈苏米（蓝色档案）
wakamo_(blue_archive),wakamo（蓝色档案）
neru_(bunny)_(blue_archive),neru（兔子）（蓝色档案）
hanako_(blue_archive),花子（蓝色档案）
akane_(blue_archive),茜（蓝色档案）
saori_(blue_archive),沙织（蓝色档案）
peroro_(blue_archive),peroro（蓝色档案）
kazusa_(blue_archive),kazusa（蓝色档案）
sora_(blue_archive),sora（蓝色档案）
haruka_(blue_archive),haruka（蓝色档案）
kokona_(blue_archive),kokona（蓝色档案）
chise_(blue_archive),chise（蓝色档案）
natsu_(blue_archive),natsu（蓝色档案）
mashiro_(blue_archive),mashiro（蓝色档案）
shiroko_(cycling)_(blue_archive),shiroko（自行车）（蓝色档案）
akane_(bunny)_(blue_archive),茜（兔子）（蓝色档案）
tsurugi_(blue_archive),tsurugi（蓝色档案）
shizuko_(blue_archive),静子（蓝色档案）
eimi_(blue_archive),eimi（蓝色档案）
chinatsu_(blue_archive),chinatsu（蓝色档案）
yoshimi_(blue_archive),吉见（蓝色档案）
ayane_(blue_archive),绫音（蓝色档案）
moe_(blue_archive),萌（蓝色档案）
fuuka_(blue_archive),fuuka（蓝色档案）
junko_(blue_archive),junko（蓝色档案）
haruna_(blue_archive),榛名（蓝色档案）
miyako_(blue_archive),宫古（蓝色档案）
mutsuki_(new_year)_(blue_archive),mutsuki（新年）（蓝色档案）
saki_(blue_archive),saki（蓝色档案）
rin_(blue_archive),rin（蓝色档案）
izumi_(blue_archive),狮子堂泉（蓝色档案）
saya_(blue_archive),沙耶（蓝色档案）
kaede_(blue_archive),枫（蓝色档案）
maki_(blue_archive),maki（蓝色档案）
tsukuyo_(blue_archive),tsukuyo（蓝色档案）
cherino_(blue_archive),cherino（蓝色档案）
chihiro_(blue_archive),千寻（蓝色档案）
hinata_(blue_archive),若叶日向（蓝色档案）
atsuko_(blue_archive),亚津子（蓝色档案）
fubuki_(blue_archive),吹雪（蓝色档案）
hare_(blue_archive),小钩晴（蓝色档案）
fate/grand_order,命运/大订单
fate/extra,命运/额外
fate/apocrypha,命运/伪经
jeanne_d'arc_alter_(fate),jeanne_d'arc_alter_(fate)
fate/extra_ccc,命运/额外的ccc
abigail_williams_(fate),阿比盖尔威廉姆斯（命运）
fate/kaleid_liner_prisma_illya,命运/万花筒班轮_prisma_illya
jeanne_d'arc_alter_(avenger)_(fate),jeanne_d'arc_alter_(avenger)_(fate)
shuten_douji_(fate),酒吞童子（命运）
cu_chulainn_(fate),cu_chulainn_(命运)
archer_(fate),弓箭手（命运）
minamoto_no_raikou_(fate),Minamoto_no_raikou_(fate)
nero_claudius_(fate/extra),尼禄克劳狄斯（命运/额外）
medusa_(fate),美杜莎（命运）
mordred_(fate/apocrypha),莫德雷德（命运/伪经）
fate/prototype,命运/原型
jeanne_d'arc_(ruler)_(fate),jeanne_d'arc_(统治者)_(命运)
meltryllis_(fate),Meltryllis_(命运)
medusa_(rider)_(fate),美杜莎（骑士）（命运）
miyamoto_musashi_(fate),宫本武藏（命运）
fate/hollow_ataraxia,命运/空心共济失调
cu_chulainn_(fate/stay_night),cu_chulainn_(命运/留夜)
ishtar_(fate),伊斯塔（命运）
excalibur_(fate/stay_night),excalibur（命运/留宿之夜）
ereshkigal_(fate),ereshkigal_(命运)
gae_bolg_(fate),gae_bolg_(命运)
florence_nightingale_(fate),佛罗伦萨夜莺（命运）
jack_the_ripper_(fate/apocrypha),开膛手杰克（命运/伪经）
iskandar_(fate),依斯干达_(命运)
elizabeth_bathory_(fate),伊丽莎白巴托里（命运）
kama_(fate),卡玛（命运）
kiyohime_(fate),清姬（命运）
fate/prototype:_fragments_of_blue_and_silver,命运/原型：蓝色和银色的碎片
tomoe_gozen_(fate),tomoe_gozen_(命运)
nitocris_(fate),nitocris_(命运)
artoria_pendragon_(lancer)_(fate),artoria_pendragon_(lancer)_(命运)
katsushika_hokusai_(fate),葛饰北斋（命运）
napoleon_bonaparte_(fate),拿破仑·波拿巴（命运）
bb_(fate/extra),bb（命运/额外）
anastasia_(fate),阿纳斯塔西娅（命运）
fou_(fate),fou（命运）
yu_mei-ren_(fate),于美人（命运）
ibaraki_douji_(fate),茨城童子（命运）
elizabeth_bathory_(fate/extra_ccc),伊丽莎白巴托里（命运/额外的ccc）
mysterious_heroine_xx_(fate),神秘女主xx（命运）
jeanne_d'arc_alter_santa_lily_(fate),jeanne_d'arc_alter_santa_lily_(fate)
fate/extella,命运/extella
artoria_pendragon_(lancer_alter)_(fate),artoria_pendragon_(lancer_alter)_(fate)
ushiwakamaru_(fate),牛若丸（命运）
fate/unlimited_codes,命运/无限代码
yang_guifei_(fate),杨贵妃（命运）1304
ashiya_douman_(fate),芦屋斗满（命运）
leonardo_da_vinci_(fate),莱昂纳多·达·芬奇（命运）
morgan_le_fay_(fate),摩根勒菲（命运）
martha_(fate),玛莎（命运）
helena_blavatsky_(fate),海伦娜·布拉瓦茨基（命运）
marie_antoinette_(fate),玛丽·安托瓦内特（命运）
osakabe-hime_(fate),osakabe-hime_(命运)
mysterious_heroine_x_alter_(fate),神秘女主角_x_alter_(fate)
jeanne_d'arc_alter_(ver._shinjuku_1999)_(fate),jeanne_d'arc_alter_(ver._shinjuku_1999)_(fate)
gilles_de_rais_(caster)_(fate),gilles_de_rais（施法者）（命运）
artoria_caster_(fate),artoria_caster_(命运)
koyanskaya_(fate),koyanskaya（命运）
lord_camelot_(fate),卡莱洛特勋爵（命运）
tokitarou_(fate),时太郎（命运）
excalibur_morgan_(fate),excalibur 摩根（命运）
medea_(fate),美狄亚（命运）
zayoi_Sakuya,十六夜咲夜I
touhou_(pc-98),东方_(pc-98)
cookie_(touhou),饼干（东方）
laevatein_(touhou),laevatein_(东方)
shinki_(touhou),神机（东方）
touhou_tag_dream,东方标签梦
mima_(touhou),mima_(东方)
yumeko_(touhou),梦子（东方）
reisen_(touhou_bougetsushou),reisen_(东方bougetsushou)
elly_(touhou),elly（东方）
gengetsu_(touhou),幻月（东方）
mai_(touhou),舞（东方）
konngara_(touhou),孔加拉（东方）
mugetsu_(touhou),mugetsu（东方）
yuki_(touhou),由纪（东方）
zombie_fairy_(touhou),僵尸妖精（东方）
four_of_a_kind_(touhou),四种（东方）
ellen_(touhou),艾伦（东方）
kurumi_(touhou),久留美（东方）
touhou_lost_word,东方失语
sariel_(touhou),沙利尔（东方）
meira_(touhou),梅拉（东方）
power_item_(touhou),动力道具（东方）
touhou_gouyoku_ibun,东方gouyoku_ibun
louise_(touhou),路易丝（东方）
otter_spirit_(touhou),水獭精灵（东方）
inaba_mob_(touhou),稻叶暴徒（东方）
rika_(touhou),梨花（东方）
sara_(touhou),萨拉（东方）
kotohime_(touhou),琴姬（东方）
elis_(touhou),伊利斯（东方）
touhou_cannonball,东方炮弹
wolf_spirit_(touhou),狼灵（东方）
kappa_mob_(touhou),河童暴徒（东方）
genjii_(touhou),源氏（东方）
sokrates_(touhou),苏格拉底（东方）
touhou_danmaku_kagura,东方弹幕神乐
human_village_(touhou),人类村（东方）
shingyoku_(touhou),新玉（东方）
orange_(touhou),橙色（东方）
touhou_hisoutensoku,东方高天速
kikuri_(touhou),菊里（东方）
eagle_spirit_(touhou),鹰魂（东方）
touhou_bougetsushou,东方报月手
touhou_sangetsusei,东方三月sei
ganyu_(genshin_impact),甘雨（原神）
